vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,model_freq,brand_BMW,brand_Datsun,brand_Ford,brand_Honda,brand_Hyundai,brand_Jaguar,brand_Mahindra,brand_Maruti,brand_Mercedes-Benz,brand_Other,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Manual
3,10000,20.62,1198,67.0,7,480000,85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
4,25000,28.4,1248,74.02,5,850000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
4,102000,17.01,1582,126.2,5,1100000,335,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3,35000,22.0,1197,81.8,5,575000,781,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
9,49948,17.5,1298,85.8,5,340000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,55000,23.0,1498,98.96,5,925000,373,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
6,36000,18.9,1197,82.0,5,400000,580,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
5,49625,17.8,1497,117.3,5,725000,757,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
7,35000,23.4,1248,74.0,5,600000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
8,95000,12.05,2179,120.0,8,550000,273,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
4,36000,25.83,1498,99.0,5,585000,65,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2,50000,21.79,998,67.05,5,411000,717,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
6,26500,20.85,1197,83.14,5,450000,890,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
6,80000,13.7,1997,153.86,5,1290000,28,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,46000,16.47,1198,74.0,5,455000,372,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2,9000,20.7,1197,81.86,5,710000,580,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
5,53000,16.8,1497,116.3,5,770000,757,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3,11387,10.91,3198,197.0,7,2900000,47,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
